cultural group,context,goal,relation,actor,actor_behavior,recipient,recipient_behavior,other_descriptions,topic,agreement,num_support_bin,time_range,eval_whole_desc,eval_scenario,eval_persona,eval_question
"various cultural groups including Native American, Indian, and African",in traditional or religious settings,,,individuals or groups,wear head coverings or headdresses as part of cultural or religious practices,,,,Cultural Traditions and Festivals,0.6,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In traditional or religious settings within various cultural groups including Native American, Indian, and African, individuals or groups are commonly observed wearing head coverings or headdresses as part of their cultural or religious practices. This practice is regarded as a significant aspect of their cultural identity and is considered relatively common among the sampled population. The wearing of head coverings or headdresses holds cultural and religious significance for these groups, reflecting their traditions and beliefs. While not universal across all individuals within these cultural groups, it is widely regarded as a customary practice by a significant portion of the sampled population.",Travel Advising,"A curious and open-minded traveler planning a spiritual journey across diverse cultural landscapes, eager to respect and understand the unique customs of each destination","I'm planning a trip to explore the rich spiritual traditions of Native American, Indian, and African communities. I'm particularly interested in visiting sacred sites and attending cultural events. How can I ensure that I'm dressing appropriately and respectfully for these experiences? I want to make sure I'm not inadvertently causing any offense or misunderstanding."
South African,when paying for items,,,people,express frustration over having to calculate prices and taxes,,,prefer straightforward pricing without additional calculations,Consumer Behavior,0.1,"[210, 220)","{2022: '[0, 10)', 2023: '[210, 220)'}","When paying for items in South African culture, it is common for people to express frustration over the need to calculate prices and taxes. This frustration stems from a preference for straightforward pricing without the need for additional calculations. The majority of the sampled population considers this behavior as unusual or non-normative within the cultural context.",Travel Advising,"A meticulous American business owner planning to expand their retail operations to South Africa, eager to ensure seamless transactions with local customers and avoid any potential confusion or frustration over pricing","I'm preparing to open a store in South Africa, and I'm really keen on making sure my customers have a smooth shopping experience. I've noticed that pricing and taxes can be a bit tricky there. Could you give me some tips on how to best present my prices to avoid any confusion or frustration? I want to make sure my customers feel comfortable and confident when they're shopping with us."
South African,at gas stations,to provide and receive full service,customer to service staff and vice versa,customers and service staff,"engage in full service, including car washing, fueling, and payment",service staff and customers,provide full service and allow customers to return and pay,"full service is a thing of the past in the US, with car guards and car wash services available",Social Norms and Etiquette,1.0,"[90, 100)","{2023: '[90, 100)'}","At gas stations in South Africa, both customers and service staff engage in a full-service approach, encompassing car washing, fueling, and payment. This reciprocal behavior aims to provide and receive comprehensive service, fostering a strong customer-service staff relationship. This traditional practice of full service is deeply ingrained in South African gas stations, contrasting with the trend in the US where full service is considered outdated, and car guards and car wash services are more prevalent. Within the sampled population, this full-service interaction is widely regarded as the standard and is a common expectation at South African gas stations.",Travel Advising,"A seasoned traveler from the US planning a trip to South Africa for the first time, looking forward to exploring the local culture and curious about the everyday experiences they might encounter","I'm gearing up for my first visit to South Africa, and I'm really excited about immersing myself in the local way of life. I've heard that people in the US often mention that the service at gas stations is quite different than what they're used to. Could you give me some tips on what to expect and how to navigate this new experience so I can make the most of my trip? I want to be prepared and respectful of the local customs."
South African,public schools,education and financial support,student to school,parents and students,"pay school fees ranging from free to 1.8 months salary, with some schools receiving state subsidies",school,provide education and receive funding,"distinction between public, semi-private, and private schools based on fees and location",Finance and Economy,0.9,"[50, 60)","{2022: '[50, 60)', 2023: '[0, 10)'}","In South African public schools, parents and students are responsible for paying school fees, which can range from being free to an amount equivalent to 1.8 months' salary. This financial contribution serves the goal of supporting education and providing financial assistance to the schools. Additionally, some schools receive state subsidies to supplement the funding. There is a clear distinction between public, semi-private, and private schools based on the fees charged and their respective locations. This practice of contributing to school fees is widely regarded as a standard and common expectation within the sampled population, reflecting a high level of normativity in South African society.",Travel Advising,"A prospective American student planning to study in South Africa, considering the costs of education and the availability of financial assistance","I'm thinking about studying abroad in South Africa, and I've heard that there are some costs associated with attending school there. I'm on a bit of a budget, so I'm wondering, how do people usually manage their finances when it comes to school fees? Are there any programs or ways to make it more affordable for someone like me?"
South African,in various international settings,,,individuals and people,experience culture shock and express confusion due to unfamiliar customs and societal norms,,,,Migration and Cultural Adaptation,1.0,"[40, 50)","{2021: '[0, 10)', 2022: '[30, 40)', 2023: '[0, 10)'}","In various international settings, individuals from the South African cultural group often experience culture shock and express confusion when confronted with unfamiliar customs and societal norms. This reaction is widely regarded as a common and expected response among a significant portion of the sampled population. It reflects the challenges of adapting to new environments and the differences in cultural practices. The high normativity of this behavior suggests that it is widely acknowledged and accepted within the South African cultural group when encountering diverse cultural settings.",Travel Advising,"A globetrotting entrepreneur from South Africa, planning a business trip to a bustling Asian city for the first time","I'm gearing up for my first business trip to [Asian City], and I've got to admit, I'm a bit jittery. I've traveled extensively, but this place is like nothing I've ever seen before. I've heard that it's a whole different world, with customs and ways of doing things that I'm just not used to. I want to make sure I don't put my foot in my mouth or offend anyone unintentionally. Can you give me some tips on how to navigate this new cultural landscape without causing any unnecessary faux pas?"
South African,in South Africa,prevent the spread of diseases and reduce drug-related health issues,,people and organizations,"practice harm reduction methods, including providing free needles and syringes to reduce drug-related health risks",drug users,,"mixed perceptions on drug use, with some preferring not to use needles",Miscellaneous,0.8,"[30, 40)","{2023: '[30, 40)'}","In South Africa, both individuals and organizations engage in the practice of harm reduction methods, such as distributing free needles and syringes to drug users, with the goal of preventing the spread of diseases and reducing drug-related health issues. This approach is widely regarded as a common and accepted practice within the sampled population. However, there are mixed perceptions regarding drug use, as some individuals within the culture prefer alternative methods and may not be in favor of using needles. Despite this, the provision of free needles and syringes as a harm reduction strategy is considered a normative behavior by a significant portion of the sampled population in South Africa.",Travel Advising,"A concerned parent planning a family trip to South Africa, with a particular interest in understanding the local approaches to health and wellbeing.","I'm planning a family trip to South Africa, and I'm really keen on learning about the local attitudes towards health and wellness. We've heard a lot about the vibrant culture and the unique ways people take care of themselves. Could you give us some insights on what we might expect to see or learn about in terms of health initiatives and community support? Are there any particular practices that are widely embraced or considered the norm?"
South African,relocating to and living in Australia,understand and adapt to cultural differences,comparison and adaptation,South Africans,"experience culture shock due to differences in everyday practices, technology, and education",Australians and local service providers,provide services and engage in cultural exchange,perception of Australia as a third world country in certain aspects,Migration and Cultural Adaptation,1.0,"[30, 40)","{2023: '[30, 40)'}","When South Africans relocate to and live in Australia, they often experience culture shock as they encounter differences in everyday practices, technology, and education. Their goal is to understand and adapt to these cultural disparities. In response, Australians and local service providers engage in providing services and cultural exchange to facilitate the adaptation process. Interestingly, there is a perception among some South Africans of Australia as a third world country in certain aspects, which may influence their initial impressions and adaptation process. This behavior is widely regarded as normative within the sampled population, indicating that the majority of South Africans relocating to Australia experience and navigate cultural shock as a common aspect of their transition.",Travel Advising,"A South African businessman planning to expand his company's operations to Australia, but concerned about the cultural differences he and his team might encounter","I'm thinking of opening a branch of my business in Australia and I'll be sending some of my team over there for a few months. They're all quite tech-savvy and well-educated, but I'm worried they might struggle with some of the everyday practices and technology over there. How can I best prepare them for this transition to make sure they're able to adapt quickly and work effectively with local partners?"
South African,both in South Africa and in Australia,,,people,"engage in and value the cultural tradition of braai, a unique form of barbecue with fire and smoke",,,braai is a significant part of South African cultural identity and is often taught to others,Cultural Traditions and Festivals,0.8,"[30, 40)","{2023: '[30, 40)'}","In both South Africa and Australia, people of South African descent engage in and highly value the cultural tradition of braai, a distinctive form of barbecue involving fire and smoke. This tradition holds significant importance in the South African cultural identity and is often passed down through generations, with individuals actively teaching others about the art of braai. The practice of braai is widely regarded as a normative and integral part of the cultural fabric by a significant portion of the sampled population, reflecting its deep resonance within the South African community.",Travel Advising,"A globetrotting food enthusiast from the United States, planning a culinary tour across South Africa and Australia, eager to learn about local cooking traditions and curious about the best ways to connect with locals","I'm a huge fan of food and I'm planning this amazing trip to South Africa and Australia, looking to discover some of the local flavors and traditions. I've heard a lot about the food scene in both places, especially the way people love to gather around a good meal. I'm curious, how can I make sure I'm not missing out on any of the unique experiences that locals love to share? Are there any special gatherings or events that I should know about? I want to make sure I'm not just eating like a tourist, but really embracing the local way of enjoying food."
South African,in South Africa and among South Africans,,,people,"engage in linguistic practices including speaking with a South African accent, using South African slang, and speaking South African languages",,,,Communication and Language,0.9,"[30, 40)","{2021: '[0, 10)', 2022: '[10, 20)', 2023: '[10, 20)'}","In South Africa, it is common for people to engage in linguistic practices that reflect their cultural identity. This includes speaking with a South African accent, using local slang, and conversing in South African languages. These linguistic practices are widely regarded as a normative and standard way of communication within the sampled population. The use of these linguistic elements not only reflects a sense of cultural belonging and pride but also serves as a means of connecting with others who share the same cultural background. This behavior is highly prevalent and accepted among South Africans, showcasing the significance of language and communication in expressing cultural identity within the South African cultural context.",Travel Advising,"A globetrotting businessperson from the United States planning a business trip to South Africa, eager to make a good impression on their South African colleagues and clients","I'm gearing up for a big business trip to South Africa, and I want to make sure I fit in with my colleagues and clients. I've heard that people there have a unique way of speaking. Should I try to pick up any local phrases or accents to make my meetings more engaging, or should I stick to my usual way of speaking?"
South African,in South Africa,,,people,"engage in various activities including walking, breathing, and performing similar actions to those in Nigeria, while also experiencing unique practices like tapping",,,legal and free aspects of life in South Africa,Household and Daily Life,0.8,"[30, 40)","{2021: '[0, 10)', 2022: '[10, 20)', 2023: '[10, 20)'}","In South Africa, people engage in various activities such as walking, breathing, and other actions similar to those in Nigeria, while also incorporating unique practices like tapping. These activities are considered legal and free aspects of life in South Africa. The sampled population widely regards these behaviors as common within the South African cultural context. The inclusion of unique practices alongside shared activities with neighboring countries reflects the diverse cultural landscape of South Africa.",Travel Advising,"An adventurous and health-conscious traveler planning a trip to South Africa, eager to immerse themselves in the local culture and explore the unique practices they've heard about, while also being aware of the freedom and legality of these activities.",I'm really excited about my upcoming trip to South Africa and I've heard a lot about how people there really embrace their traditions and unique ways of living. I'm quite the curious traveler and I'd love to experience it all firsthand. Could you give me some tips on how to respectfully engage with the locals and maybe even participate in some of these practices? I want to make sure I'm not missing out on anything and that I'm being mindful of the local customs.
