flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,avg_sentence_length,std_sentence_length,num_sentences,pos_distribution,dep_distribution,num_entities,type_token_ratio,hapax_ratio,avg_word_length,response_id
36.93,14.5,15.63,15.8,14.39,17.4,10.29,25.38888888888889,12.356459799045682,18,"{'VERB': 48, 'PROPN': 24, 'NOUN': 104, 'AUX': 17, 'DET': 33, 'ADV': 13, 'ADJ': 56, 'PUNCT': 33, 'CCONJ': 23, 'PRON': 26, 'ADP': 59, 'SCONJ': 2, 'PART': 6, 'X': 13}","{'compound': 25, 'nsubj': 25, 'ROOT': 18, 'det': 33, 'advmod': 13, 'amod': 47, 'attr': 2, 'punct': 35, 'cc': 23, 'conj': 23, 'prep': 55, 'pobj': 53, 'relcl': 10, 'acomp': 5, 'mark': 1, 'advcl': 7, 'aux': 11, 'xcomp': 2, 'dobj': 28, 'meta': 9, 'nmod': 2, 'csubj': 3, 'nsubjpass': 2, 'auxpass': 2, 'agent': 1, 'dative': 1, 'poss': 8, 'acl': 4, 'neg': 2, 'appos': 1, 'pcomp': 2, 'ccomp': 2, 'prt': 2}",21,0.7198275862068966,0.8203592814371258,6.827586206896552,0
35.47,13.0,13.27,15.4,15.49,15.4,10.23,22.033333333333335,9.988270899187484,30,"{'VERB': 43, 'DET': 69, 'ADJ': 76, 'NOUN': 125, 'CCONJ': 29, 'ADP': 71, 'PUNCT': 82, 'PROPN': 104, 'ADV': 11, 'PRON': 15, 'AUX': 14, 'X': 14, 'SCONJ': 3, 'PART': 5}","{'csubj': 4, 'det': 69, 'amod': 66, 'dobj': 28, 'cc': 29, 'conj': 36, 'prep': 70, 'punct': 85, 'pobj': 64, 'advmod': 16, 'ROOT': 30, 'nsubj': 31, 'poss': 7, 'aux': 6, 'relcl': 7, 'acomp': 4, 'pcomp': 6, 'compound': 61, 'npadvmod': 6, 'appos': 7, 'nmod': 3, 'advcl': 3, 'attr': 6, 'xcomp': 2, 'meta': 7, 'nsubjpass': 2, 'auxpass': 2, 'neg': 2, 'acl': 1, 'agent': 1}",75,0.654178674351585,0.7533039647577092,7.100864553314121,1
28.84,13.5,14.35,15.4,16.93,15.8,10.2,17.227272727272727,10.617018149186961,22,"{'VERB': 49, 'ADV': 12, 'ADP': 34, 'ADJ': 40, 'NOUN': 75, 'PRON': 30, 'AUX': 10, 'PUNCT': 39, 'CCONJ': 22, 'SCONJ': 7, 'PART': 7, 'DET': 21, 'NUM': 1, 'PROPN': 20, 'X': 12}","{'csubj': 1, 'advmod': 15, 'prep': 35, 'amod': 30, 'pobj': 30, 'poss': 14, 'ROOT': 22, 'acomp': 6, 'punct': 42, 'cc': 22, 'advcl': 5, 'dobj': 28, 'appos': 2, 'conj': 24, 'aux': 9, 'acl': 2, 'det': 21, 'nsubj': 22, 'ccomp': 6, 'nummod': 1, 'compound': 12, 'pcomp': 5, 'preconj': 2, 'relcl': 6, 'meta': 7, 'npadvmod': 1, 'agent': 1, 'mark': 3, 'xcomp': 1, 'neg': 1, 'expl': 1, 'attr': 1, 'nmod': 1}",13,0.7754010695187166,0.8206896551724138,7.2727272727272725,2
39.26,13.6,15.09,15.2,14.05,16.0,9.9,26.571428571428573,5.827450872677469,14,"{'NOUN': 99, 'PUNCT': 37, 'AUX': 12, 'PART': 6, 'ADV': 13, 'DET': 36, 'ADJ': 32, 'CCONJ': 21, 'ADP': 45, 'PROPN': 6, 'PRON': 20, 'VERB': 38, 'SCONJ': 7}","{'compound': 24, 'punct': 37, 'nsubj': 18, 'ROOT': 14, 'neg': 1, 'advmod': 16, 'det': 35, 'amod': 25, 'cc': 21, 'conj': 24, 'attr': 4, 'prep': 42, 'pobj': 39, 'dobj': 21, 'aux': 10, 'relcl': 4, 'mark': 4, 'poss': 5, 'appos': 1, 'acl': 3, 'ccomp': 4, 'acomp': 1, 'advcl': 5, 'pcomp': 4, 'xcomp': 2, 'preconj': 2, 'csubj': 2, 'nsubjpass': 1, 'auxpass': 1, 'agent': 1, 'prt': 1}",8,0.7471910112359551,0.8345864661654135,6.724719101123595,3
23.77,15.4,16.18,16.9,16.59,17.5,10.84,25.63157894736842,6.080257320695612,19,"{'VERB': 54, 'ADP': 56, 'PRON': 26, 'ADJ': 61, 'NOUN': 92, 'DET': 29, 'CCONJ': 36, 'AUX': 21, 'ADV': 19, 'PUNCT': 38, 'PART': 6, 'NUM': 1, 'PROPN': 35, 'X': 9, 'SCONJ': 4}","{'csubj': 3, 'prep': 54, 'poss': 7, 'amod': 51, 'pobj': 49, 'det': 29, 'cc': 36, 'conj': 38, 'compound': 22, 'ROOT': 19, 'advmod': 23, 'acomp': 9, 'punct': 38, 'nsubj': 21, 'aux': 10, 'relcl': 7, 'ccomp': 3, 'npadvmod': 1, 'neg': 3, 'pcomp': 7, 'dobj': 26, 'xcomp': 4, 'meta': 9, 'mark': 1, 'advcl': 3, 'acl': 3, 'agent': 1, 'nsubjpass': 1, 'auxpass': 1, 'prt': 1, 'attr': 3, 'nmod': 3, 'appos': 1}",19,0.7740585774058577,0.8324324324324325,7.598326359832636,4
38.15,14.0,15.92,16.0,14.39,16.7,9.74,27.0,9.83192080250175,12,"{'VERB': 41, 'PRON': 20, 'ADJ': 43, 'NOUN': 79, 'SCONJ': 6, 'ADP': 28, 'PROPN': 6, 'AUX': 14, 'DET': 17, 'PART': 8, 'CCONJ': 20, 'PUNCT': 27, 'ADV': 15}","{'csubj': 6, 'poss': 11, 'amod': 39, 'dobj': 24, 'mark': 4, 'advcl': 5, 'prep': 29, 'pobj': 26, 'aux': 13, 'ROOT': 12, 'det': 17, 'attr': 2, 'acl': 4, 'advmod': 17, 'nsubj': 13, 'ccomp': 2, 'cc': 20, 'conj': 22, 'punct': 27, 'compound': 13, 'preconj': 1, 'relcl': 6, 'acomp': 3, 'nsubjpass': 1, 'auxpass': 1, 'nmod': 1, 'xcomp': 1, 'pcomp': 2, 'neg': 2}",8,0.6941176470588235,0.7796610169491526,6.541176470588235,5
34.46,13.4,12.71,14.7,14.91,15.1,9.53,22.0,7.6226808379922835,19,"{'SCONJ': 10, 'PRON': 37, 'AUX': 21, 'VERB': 52, 'DET': 29, 'ADJ': 49, 'NOUN': 73, 'CCONJ': 25, 'ADP': 35, 'PUNCT': 32, 'PART': 10, 'ADV': 18, 'PROPN': 17, 'NUM': 2, 'X': 8}","{'advmod': 24, 'nsubj': 20, 'aux': 17, 'ROOT': 19, 'det': 28, 'amod': 37, 'dobj': 31, 'cc': 25, 'conj': 28, 'prep': 36, 'pobj': 29, 'punct': 34, 'poss': 13, 'appos': 2, 'advcl': 8, 'pcomp': 6, 'acomp': 6, 'nsubjpass': 3, 'auxpass': 3, 'relcl': 7, 'quantmod': 1, 'nummod': 3, 'ccomp': 4, 'neg': 2, 'compound': 13, 'mark': 3, 'meta': 6, 'xcomp': 3, 'dative': 1, 'dep': 1, 'oprd': 1, 'nmod': 1, 'acl': 2, 'preconj': 1}",11,0.681592039800995,0.7299270072992701,7.134328358208955,6
51.38,11.0,13.37,14.2,13.17,13.8,10.2,22.5,8.811923740024081,20,"{'VERB': 60, 'DET': 32, 'ADJ': 54, 'NOUN': 83, 'ADP': 35, 'AUX': 10, 'ADV': 19, 'PART': 10, 'CCONJ': 22, 'PRON': 38, 'PUNCT': 41, 'SCONJ': 6, 'PROPN': 26, 'X': 13, 'NUM': 1}","{'csubj': 4, 'det': 32, 'amod': 44, 'dobj': 33, 'prep': 35, 'pobj': 31, 'aux': 10, 'advmod': 21, 'ROOT': 20, 'attr': 4, 'acl': 3, 'cc': 21, 'conj': 22, 'poss': 21, 'compound': 23, 'punct': 41, 'mark': 5, 'nsubj': 23, 'advcl': 13, 'expl': 1, 'meta': 13, 'relcl': 3, 'preconj': 4, 'acomp': 6, 'ccomp': 4, 'xcomp': 4, 'pcomp': 3, 'oprd': 2, 'prt': 1, 'npadvmod': 1, 'dep': 1, 'neg': 1}",10,0.7194570135746606,0.8301886792452831,6.583710407239819,7
45.69,13.2,15.34,15.2,12.94,16.2,10.01,29.0,10.014275524755362,14,"{'VERB': 33, 'DET': 36, 'NOUN': 90, 'ADP': 53, 'CCONJ': 19, 'PUNCT': 44, 'PROPN': 48, 'AUX': 12, 'PART': 4, 'ADV': 10, 'ADJ': 40, 'PRON': 14, 'SCONJ': 3}","{'csubj': 4, 'det': 36, 'dobj': 16, 'prep': 53, 'pobj': 52, 'cc': 19, 'compound': 38, 'punct': 44, 'conj': 23, 'ROOT': 14, 'neg': 2, 'advmod': 13, 'amod': 35, 'attr': 2, 'appos': 2, 'nsubj': 18, 'advcl': 6, 'aux': 8, 'ccomp': 2, 'acomp': 4, 'relcl': 4, 'poss': 6, 'nsubjpass': 1, 'auxpass': 1, 'pcomp': 1, 'xcomp': 1, 'acl': 1}",27,0.7383177570093458,0.810126582278481,6.191588785046729,8
32.43,14.2,14.47,15.7,15.37,16.4,10.71,23.625,10.746365664725912,16,"{'VERB': 41, 'ADJ': 50, 'NOUN': 77, 'CCONJ': 29, 'DET': 33, 'ADV': 11, 'PUNCT': 29, 'PRON': 16, 'AUX': 13, 'ADP': 42, 'PROPN': 29, 'PART': 7, 'SCONJ': 1}","{'csubj': 4, 'amod': 46, 'dobj': 19, 'cc': 28, 'conj': 27, 'ROOT': 16, 'det': 33, 'advmod': 13, 'punct': 29, 'expl': 1, 'attr': 7, 'nsubj': 18, 'aux': 7, 'relcl': 7, 'prep': 41, 'pobj': 40, 'compound': 15, 'appos': 2, 'preconj': 3, 'ccomp': 1, 'neg': 2, 'acomp': 3, 'poss': 3, 'acl': 2, 'xcomp': 3, 'advcl': 3, 'mark': 1, 'npadvmod': 1, 'agent': 1, 'dep': 1, 'pcomp': 1}",16,0.7878787878787878,0.7948717948717948,7.141414141414141,9
