flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,avg_sentence_length,std_sentence_length,num_sentences,pos_distribution,dep_distribution,num_entities,type_token_ratio,hapax_ratio,avg_word_length,response_id
54.73,9.7,10.23,11.5,11.6,11.1,8.85,17.0,8.781665392100951,34,"{'PRON': 41, 'VERB': 66, 'ADP': 57, 'DET': 29, 'ADJ': 43, 'NOUN': 105, 'PUNCT': 64, 'PROPN': 73, 'CCONJ': 33, 'AUX': 25, 'ADV': 4, 'PART': 9, 'SPACE': 11, 'NUM': 3, 'SCONJ': 5, 'X': 10}","{'nsubj': 35, 'ROOT': 34, 'prep': 56, 'det': 29, 'amod': 38, 'pobj': 53, 'punct': 64, 'cc': 33, 'conj': 36, 'compound': 43, 'dobj': 36, 'aux': 23, 'advmod': 5, 'relcl': 16, 'ccomp': 3, 'poss': 12, 'dep': 13, 'npadvmod': 1, 'mark': 3, 'advcl': 5, 'xcomp': 1, 'nsubjpass': 1, 'auxpass': 1, 'csubj': 3, 'meta': 8, 'pcomp': 3, 'nmod': 8, 'acl': 3, 'attr': 4, 'prt': 2, 'acomp': 4, 'neg': 1, 'appos': 1}",39,0.6254416961130742,0.7401129943502824,6.18374558303887,0
37.5,12.2,10.87,15.0,17.57,16.7,9.28,20.379310344827587,8.663891747594203,29,"{'ADV': 7, 'PUNCT': 112, 'DET': 39, 'PROPN': 133, 'AUX': 5, 'ADP': 48, 'ADJ': 59, 'NOUN': 95, 'CCONJ': 27, 'PRON': 16, 'VERB': 36, 'SCONJ': 1, 'SPACE': 4, 'PART': 1, 'NUM': 1, 'X': 7}","{'ROOT': 29, 'punct': 114, 'det': 39, 'compound': 80, 'nsubj': 27, 'advmod': 7, 'prep': 48, 'amod': 60, 'pobj': 48, 'cc': 27, 'conj': 37, 'expl': 1, 'attr': 1, 'aux': 4, 'relcl': 8, 'dobj': 26, 'dep': 4, 'appos': 9, 'acl': 5, 'nummod': 2, 'poss': 4, 'prt': 1, 'advcl': 3, 'meta': 3, 'nmod': 2, 'npadvmod': 2}",74,0.5372670807453416,0.6878612716763006,6.922360248447205,1
49.82,9.5,9.78,12.4,13.91,11.9,8.84,14.029411764705882,7.1680881613770175,34,"{'VERB': 70, 'ADP': 44, 'ADJ': 39, 'NOUN': 86, 'CCONJ': 18, 'PRON': 43, 'AUX': 23, 'DET': 20, 'PART': 14, 'PUNCT': 62, 'ADV': 14, 'SCONJ': 12, 'NUM': 2, 'PROPN': 15, 'X': 15}","{'csubj': 3, 'prep': 43, 'amod': 29, 'pobj': 34, 'cc': 18, 'conj': 19, 'poss': 16, 'ROOT': 34, 'det': 20, 'attr': 2, 'aux': 23, 'relcl': 4, 'compound': 12, 'dobj': 38, 'punct': 64, 'advmod': 18, 'nsubj': 27, 'pcomp': 10, 'advcl': 6, 'nummod': 1, 'neg': 2, 'appos': 2, 'acl': 5, 'meta': 11, 'npadvmod': 2, 'xcomp': 5, 'mark': 8, 'nsubjpass': 1, 'auxpass': 1, 'ccomp': 7, 'acomp': 9, 'oprd': 1, 'prt': 1, 'dep': 1}",18,0.6411483253588517,0.7164179104477612,7.22488038277512,2
48.2,10.2,10.98,12.3,12.69,11.4,8.96,16.058823529411764,8.502391277719838,34,"{'PROPN': 51, 'AUX': 24, 'ADV': 15, 'DET': 24, 'ADJ': 55, 'NOUN': 117, 'ADP': 47, 'PUNCT': 60, 'VERB': 54, 'PRON': 26, 'CCONJ': 31, 'PART': 10, 'SPACE': 3, 'NUM': 4, 'X': 19, 'SCONJ': 6}","{'nsubj': 22, 'ROOT': 34, 'advmod': 19, 'det': 24, 'amod': 47, 'attr': 6, 'prep': 44, 'pobj': 44, 'punct': 63, 'acl': 2, 'poss': 15, 'compound': 41, 'cc': 31, 'conj': 39, 'aux': 17, 'relcl': 4, 'ccomp': 2, 'dobj': 33, 'dep': 4, 'nummod': 3, 'advcl': 10, 'dative': 1, 'csubj': 4, 'mark': 3, 'acomp': 7, 'xcomp': 6, 'meta': 15, 'nsubjpass': 1, 'auxpass': 1, 'prt': 1, 'neg': 1, 'pcomp': 1, 'preconj': 1}",31,0.6798561151079137,0.783068783068783,6.485611510791367,3
38.21,11.9,11.41,13.7,14.61,13.5,8.88,16.61764705882353,7.874062804670986,34,"{'ADV': 9, 'PUNCT': 66, 'PRON': 46, 'VERB': 76, 'SCONJ': 3, 'AUX': 22, 'ADP': 52, 'DET': 20, 'ADJ': 49, 'NOUN': 108, 'PART': 9, 'CCONJ': 35, 'SPACE': 8, 'NUM': 1, 'PROPN': 51, 'X': 10}","{'ROOT': 34, 'punct': 68, 'nsubj': 29, 'mark': 3, 'aux': 22, 'advcl': 6, 'prep': 51, 'det': 20, 'amod': 36, 'pobj': 47, 'advmod': 6, 'relcl': 7, 'ccomp': 8, 'dobj': 39, 'acl': 4, 'poss': 20, 'cc': 35, 'conj': 39, 'dep': 10, 'nummod': 1, 'compound': 42, 'appos': 2, 'csubj': 3, 'preconj': 1, 'meta': 5, 'xcomp': 6, 'nmod': 2, 'acomp': 11, 'pcomp': 4, 'prt': 2, 'attr': 1, 'dative': 1}",19,0.6678445229681979,0.7037037037037037,6.957597173144876,4
62.58,8.8,9.86,10.9,11.42,11.5,8.48,17.916666666666668,9.313595200327077,36,"{'VERB': 77, 'PRON': 49, 'ADJ': 60, 'NOUN': 127, 'SCONJ': 10, 'ADP': 46, 'PROPN': 63, 'AUX': 29, 'DET': 26, 'PUNCT': 87, 'CCONJ': 26, 'ADV': 14, 'PART': 14, 'SPACE': 8, 'NUM': 2, 'X': 7}","{'csubj': 4, 'poss': 20, 'amod': 56, 'dobj': 41, 'mark': 9, 'advcl': 12, 'prep': 44, 'pobj': 43, 'aux': 31, 'ROOT': 36, 'det': 26, 'attr': 2, 'punct': 86, 'cc': 26, 'nsubj': 41, 'conj': 31, 'oprd': 1, 'advmod': 15, 'relcl': 15, 'ccomp': 5, 'compound': 55, 'dep': 8, 'npadvmod': 4, 'acomp': 8, 'nmod': 6, 'prt': 3, 'xcomp': 8, 'meta': 4, 'neg': 2, 'appos': 1, 'acl': 1, 'pcomp': 1}",23,0.65527950310559,0.7251184834123223,5.913043478260869,5
59.4,7.9,8.94,10.7,12.11,9.9,9.62,13.0,5.493078648943437,23,"{'PART': 7, 'VERB': 44, 'ADP': 28, 'NOUN': 55, 'CCONJ': 15, 'DET': 9, 'ADJ': 19, 'PROPN': 19, 'PUNCT': 37, 'ADV': 9, 'AUX': 20, 'NUM': 1, 'SCONJ': 6, 'PRON': 17, 'X': 13}","{'aux': 16, 'advcl': 4, 'prep': 26, 'pobj': 24, 'cc': 15, 'conj': 19, 'det': 9, 'amod': 16, 'dobj': 23, 'pcomp': 3, 'punct': 41, 'advmod': 10, 'ROOT': 23, 'attr': 3, 'nummod': 1, 'nsubj': 14, 'poss': 5, 'ccomp': 5, 'prt': 1, 'meta': 8, 'compound': 9, 'nmod': 4, 'acl': 2, 'mark': 5, 'relcl': 1, 'neg': 2, 'xcomp': 2, 'csubj': 1, 'nsubjpass': 1, 'auxpass': 2, 'acomp': 4}",14,0.7482517482517482,0.8130841121495327,6.293706293706293,6
64.41,8.1,9.05,11.0,10.84,10.1,8.24,16.296296296296298,6.835716737812934,27,"{'PRON': 54, 'ADJ': 43, 'SCONJ': 12, 'AUX': 17, 'VERB': 68, 'ADP': 32, 'NOUN': 86, 'CCONJ': 15, 'PART': 6, 'PUNCT': 43, 'ADV': 11, 'DET': 20, 'NUM': 1, 'PROPN': 17, 'X': 15}","{'poss': 30, 'ROOT': 27, 'mark': 10, 'nsubj': 32, 'aux': 18, 'ccomp': 8, 'prep': 30, 'pobj': 25, 'cc': 15, 'conj': 18, 'advmod': 13, 'xcomp': 9, 'dobj': 34, 'amod': 24, 'punct': 47, 'det': 20, 'relcl': 7, 'acomp': 10, 'advcl': 13, 'compound': 27, 'npadvmod': 3, 'meta': 9, 'pcomp': 4, 'attr': 2, 'nmod': 1, 'prt': 1, 'oprd': 1, 'dep': 1, 'csubj': 1}",15,0.6698564593301436,0.7714285714285715,6.0047846889952154,7
63.7,8.4,9.83,11.6,11.66,11.4,8.66,17.825,9.462788965204709,40,"{'PRON': 20, 'VERB': 60, 'ADP': 55, 'DET': 48, 'ADJ': 56, 'NOUN': 138, 'PUNCT': 121, 'CCONJ': 31, 'AUX': 18, 'SPACE': 6, 'PROPN': 138, 'SCONJ': 9, 'ADV': 5, 'PART': 7, 'NUM': 1}","{'nsubj': 27, 'ROOT': 40, 'prep': 54, 'det': 48, 'amod': 57, 'pobj': 52, 'punct': 118, 'cc': 32, 'compound': 112, 'conj': 38, 'dobj': 32, 'expl': 1, 'attr': 4, 'relcl': 8, 'acomp': 3, 'pcomp': 3, 'poss': 10, 'ccomp': 3, 'acl': 7, 'dep': 7, 'appos': 9, 'advmod': 11, 'parataxis': 1, 'aux': 18, 'nummod': 1, 'prt': 2, 'nsubjpass': 1, 'auxpass': 1, 'agent': 1, 'nmod': 2, 'mark': 3, 'advcl': 5, 'xcomp': 1, 'dative': 1}",41,0.5378590078328982,0.7135922330097088,5.634464751958225,8
44.64,11.5,11.81,14.5,13.45,13.6,9.66,17.78787878787879,9.412298774886604,33,"{'PRON': 21, 'ADJ': 53, 'SCONJ': 1, 'VERB': 41, 'PART': 3, 'NOUN': 112, 'ADP': 73, 'CCONJ': 34, 'PUNCT': 66, 'ADV': 3, 'DET': 49, 'AUX': 5, 'SPACE': 9, 'NUM': 3, 'PROPN': 106, 'X': 8}","{'poss': 7, 'ROOT': 33, 'mark': 1, 'nsubj': 21, 'ccomp': 2, 'aux': 5, 'xcomp': 3, 'dobj': 27, 'prep': 70, 'amod': 49, 'pobj': 72, 'cc': 34, 'conj': 43, 'punct': 66, 'advmod': 3, 'advcl': 1, 'det': 49, 'relcl': 9, 'dep': 10, 'nummod': 1, 'compound': 55, 'nmod': 3, 'appos': 5, 'acl': 2, 'meta': 7, 'agent': 2, 'pcomp': 2, 'acomp': 2, 'npadvmod': 3}",59,0.6812080536912751,0.7733990147783252,6.902684563758389,9
